Goals: ((1, 2), (3, 3), (2, 4))		 UNSAT
Goals: ((1, 2), (3, 4), (2, 2))		 UNSAT
Goals: ((1, 2), (3, 4), (2, 4))		 UNSAT
Goals: ((1, 2), (3, 5), (2, 2))		 UNSAT
Goals: ((1, 2), (3, 5), (2, 4))		 UNSAT
Goals: ((1, 3), (3, 1), (2, 2))		 UNSAT
Goals: ((1, 3), (3, 1), (2, 4))		 UNSAT
Goals: ((1, 3), (3, 2), (2, 2))		 UNSAT
Goals: ((1, 3), (3, 2), (2, 4))		 UNSAT
Goals: ((1, 3), (3, 3), (2, 2))		 UNSAT
Goals: ((1, 3), (3, 3), (2, 4))		 UNSAT
Goals: ((1, 3), (3, 4), (2, 2))		 UNSAT
Goals: ((1, 3), (3, 4), (2, 4))		 UNSAT
Goals: ((1, 3), (3, 5), (2, 2))		 UNSAT
Goals: ((1, 3), (3, 5), (2, 4))		 UNSAT
Goals: ((1, 4), (3, 1), (2, 2))		 UNSAT
Goals: ((1, 4), (3, 1), (2, 4))		 UNSAT
Goals: ((1, 4), (3, 2), (2, 2))		 UNSAT
Goals: ((1, 4), (3, 2), (2, 4))		 UNSAT
Goals: ((1, 4), (3, 3), (2, 2))		 UNSAT
Goals: ((1, 4), (3, 3), (2, 4))		 UNSAT
Goals: ((1, 4), (3, 4), (2, 2))		 UNSAT
Goals: ((1, 4), (3, 4), (2, 4))		 UNSAT
Goals: ((1, 4), (3, 5), (2, 2))		 UNSAT
Goals: ((1, 4), (3, 5), (2, 4))		 UNSAT
Goals: ((1, 5), (3, 1), (2, 2))		 SAT
Goals: ((1, 5), (3, 1), (2, 4))		 SAT
Goals: ((1, 5), (3, 2), (2, 2))		 UNSAT
Goals: ((1, 5), (3, 2), (2, 4))		 UNSAT
Goals: ((1, 5), (3, 3), (2, 2))		 UNSAT
Goals: ((1, 5), (3, 3), (2, 4))		 UNSAT
Goals: ((1, 5), (3, 4), (2, 2))		 UNSAT
Goals: ((1, 5), (3, 4), (2, 4))		 UNSAT
Goals: ((1, 5), (3, 5), (2, 2))		 SAT
Goals: ((1, 5), (3, 5), (2, 4))		 SAT
